Algorithm,Size,Time,Comparisons,Swaps,MaxDepth
MergeSort,100,9,658,392,3
QuickSort,100,0,503,180,6
Select,100,2,737,185,6
ClosestPair,100,3,133,0,6
MergeSort,500,0,4808,2968,5
QuickSort,500,1,2956,1226,7
Select,500,1,4542,1091,8
ClosestPair,500,2,878,0,8
MergeSort,1000,1,10333,6936,6
QuickSort,1000,0,8674,2601,7
Select,1000,0,9379,2235,9
ClosestPair,1000,1,1734,0,9
MergeSort,5000,1,59574,49488,9
QuickSort,5000,1,49787,15942,9
Select,5000,1,48848,11296,11
ClosestPair,5000,9,6779,0,12
MergeSort,10000,3,128964,108976,10
QuickSort,10000,2,109534,33877,9
Select,10000,2,92138,20936,12
ClosestPair,10000,21,13598,0,13
